Date,Pressure,Instantaneous VRR,Cummulative VRR
7/1/1993,3784.979544,0.000,0.000
8/1/1993,3783.780968,0.000,0.000
9/1/1993,3784.27083,0.000,0.000
10/1/1993,3783.400535,0.000,0.000
11/1/1993,3783.736355,0.000,0.000
12/1/1993,3782.956088,0.000,0.000
1/1/1994,3783.351421,0.000,0.000
2/1/1994,3782.614128,0.000,0.000
3/1/1994,3780.921661,0.000,0.000
4/1/1994,3781.706807,0.000,0.000
5/1/1994,3781.234063,0.000,0.000
6/1/1994,3781.842601,0.000,0.000
7/1/1994,3781.259488,0.000,0.000
8/1/1994,3781.789886,0.000,0.000
9/1/1994,3781.151672,0.000,0.000
10/1/1994,3781.642759,0.000,0.000
11/1/1994,3779.864467,0.000,0.000
12/1/1994,3780.59687,0.000,0.000
1/1/1995,3781.087298,0.000,0.000
2/1/1995,3780.436231,0.000,0.000
3/1/1995,3779.919189,0.000,0.000
4/1/1995,3779.368041,0.000,0.000
5/1/1995,3779.016965,0.000,0.000
6/1/1995,3779.69147,0.000,0.000
7/1/1995,3779.160712,0.000,0.000
8/1/1995,3779.723053,0.000,0.000
9/1/1995,3779.112646,0.000,0.000
10/1/1995,3778.508846,0.000,0.000
11/1/1995,3778.120179,0.000,0.000
12/1/1995,3777.773615,0.000,0.000
1/1/1996,3778.450179,0.000,0.000
2/1/1996,3777.92391,0.000,0.000
3/1/1996,3776.389939,0.000,0.000
4/1/1996,3776.274808,0.000,0.000
5/1/1996,3777.097871,0.000,0.000
6/1/1996,3776.679115,0.000,0.000
7/1/1996,3776.32572,0.000,0.000
8/1/1996,3775.890497,0.000,0.000
9/1/1996,3775.620533,0.000,0.000
10/1/1996,3775.357953,0.000,0.000
11/1/1996,3775.102109,0.000,0.000
12/1/1996,3774.736369,0.000,0.000
1/1/1997,3774.515446,0.000,0.000
2/1/1997,3774.287681,0.000,0.000
3/1/1997,3774.056477,0.000,0.000
4/1/1997,3773.708496,0.000,0.000
5/1/1997,3773.49987,0.000,0.000
6/1/1997,3773.280825,0.000,0.000
7/1/1997,3773.055963,0.000,0.000
8/1/1997,3772.712605,0.000,0.000
9/1/1997,3772.507143,0.000,0.000
10/1/1997,3772.290051,0.000,0.000
11/1/1997,3770.974018,0.000,0.000
12/1/1997,3770.99837,0.000,0.000
1/1/1998,3769.842599,0.000,0.000
2/1/1998,3769.978303,0.000,0.000
3/1/1998,3769.991805,0.000,0.000
4/1/1998,3768.844922,0.000,0.000
5/1/1998,3768.983847,0.000,0.000
6/1/1998,3766.943553,0.000,0.000
7/1/1998,3767.357576,0.000,0.000
8/1/1998,3765.50793,0.000,0.000
9/1/1998,3766.050738,0.000,0.000
10/1/1998,3764.298457,0.000,0.000
11/1/1998,3763.940575,0.000,0.000
